ENER_NO,COMPLEXCODE,ENER_DT,HEAT_AMOUNT,HEAT_USAGE,WATERHOT_AMOUNT,WATERHOT_USAGE,GAS_AMOUNT,GAS_USAGE,ELEC_AMOUNT,ELEC_USAGE,WATER_AMOUNT,WATER_USAGE
1,A10023531,201401,0,0,0,0,0,0,0,0,0,0
2,A10023531,201402,0,0,0,0,0,0,0,0,0,0
3,A10023531,201403,0,0,0,0,0,0,0,0,0,0
4,A10023531,201404,0,0,0,0,0,0,0,0,0,0
5,A10023531,201405,0,0,0,0,0,0,0,0,0,0
6,A10023531,201406,0,0,0,0,0,0,0,0,0,0
7,A10023531,201407,0,0,0,0,0,0,0,0,0,0
8,A10023531,201408,0,0,0,0,0,0,0,0,0,0
9,A10023531,201409,0,0,0,0,0,0,0,0,0,0
10,A10023531,201410,0,0,0,0,0,0,0,0,0,0
11,A10023531,201411,0,0,0,0,0,0,0,0,0,0
12,A10023531,201412,0,0,0,0,0,0,0,0,0,0
13,A10023531,201501,0,0,0,0,0,0,0,0,0,0
14,A10023531,201502,0,0,0,0,0,0,0,0,0,0
15,A10023531,201503,0,0,0,0,0,0,0,0,0,0
16,A10023531,201504,0,0,0,0,0,0,0,0,0,0
17,A10023531,201505,0,0,0,0,0,0,0,0,0,0
18,A10023531,201506,0,0,0,0,0,0,0,0,0,0
19,A10023531,201507,0,0,0,0,0,0,0,0,0,0
20,A10023531,201508,0,0,0,0,0,0,0,0,0,0
21,A10023531,201509,0,0,0,0,0,0,0,0,0,0
22,A10023531,201510,0,0,0,0,0,0,0,0,0,0
23,A10023531,201511,0,0,0,0,0,0,0,0,0,0
24,A10023531,201512,0,0,0,0,0,0,0,0,0,0
25,A10023531,201601,0,0,0,0,0,0,0,0,0,0
26,A10023531,201602,0,0,0,0,0,0,0,0,0,0
27,A10023531,201603,0,0,0,0,0,0,0,0,0,0
28,A10023531,201604,0,0,0,0,0,0,0,0,0,0
29,A10023531,201605,0,0,0,0,0,0,0,0,0,0
30,A10023531,201606,0,0,0,0,0,0,0,0,0,0
31,A10023531,201607,0,0,0,0,0,0,0,0,0,0
32,A10023531,201608,0,0,0,0,0,0,0,0,0,0
33,A10023531,201609,0,0,0,0,0,0,0,0,0,0
34,A10023531,201610,0,0,0,0,0,0,0,0,0,0
35,A10023531,201611,0,0,0,0,0,0,0,0,0,0
36,A10023531,201612,0,0,0,0,0,0,0,0,0,0
37,A10023531,201701,0,0,0,0,0,0,0,0,0,0
38,A10023531,201702,0,0,0,0,0,0,0,0,0,0
39,A10023531,201703,0,0,0,0,0,0,0,0,0,0
40,A10023531,201704,0,0,0,0,0,0,0,0,0,0
41,A10023531,201705,0,0,0,0,0,0,0,0,0,0
42,A10023531,201706,0,0,0,0,0,0,0,0,0,0
43,A10023531,201707,0,0,0,0,0,0,0,0,0,0
44,A10023531,201708,0,0,0,0,0,0,0,0,0,0
45,A10023531,201709,0,0,0,0,0,0,0,0,0,0
46,A10023531,201710,0,0,0,0,0,0,0,0,0,0
47,A10023531,201711,0,0,0,0,0,0,0,0,0,0
48,A10023531,201712,0,0,0,0,0,0,0,0,0,0
49,A10023531,201801,0,0,0,0,0,0,0,0,0,0
50,A10023531,201802,0,0,0,0,0,0,0,0,0,0
51,A10023531,201803,0,0,0,0,0,0,0,0,0,0
52,A10023531,201804,0,0,0,0,0,0,0,0,0,0
53,A10023531,201805,0,0,0,0,0,0,0,0,0,0
54,A10023531,201806,0,0,0,0,0,0,0,0,0,0
55,A10023531,201807,0,0,0,0,0,0,0,0,0,0
56,A10023531,201808,0,0,0,0,0,0,0,0,0,0
57,A10023531,201809,0,0,0,0,0,0,0,0,0,0
58,A10023531,201810,0,0,0,0,0,0,0,0,0,0
59,A10023531,201811,0,0,0,0,0,0,0,0,0,0
60,A10023531,201812,0,0,0,0,0,0,0,0,0,0
61,A10023531,201901,0,0,0,0,0,0,0,0,0,0
62,A10023531,201902,0,0,0,0,0,0,0,0,0,0
63,A10023531,201903,0,0,0,0,0,0,0,0,0,0
64,A10023531,201904,0,0,0,0,0,0,0,0,0,0
65,A10023531,201905,0,0,0,0,0,0,0,0,0,0
66,A10023531,201906,0,0,0,0,0,0,0,0,0,0
67,A10023531,201907,0,0,0,0,0,0,0,0,0,0
68,A10023531,201908,0,0,0,0,0,0,0,0,0,0
69,A10023531,201909,0,0,0,0,0,0,0,0,0,0
70,A10023531,201910,0,0,0,0,0,0,0,0,0,0
71,A10023531,201911,0,0,0,0,0,0,0,0,0,0
72,A10023531,201912,0,0,0,0,0,0,0,0,0,0
73,A10023531,202001,0,0,0,0,0,0,0,0,0,0
74,A10023531,202002,0,0,0,0,0,0,0,0,0,0
75,A10023531,202003,0,0,0,0,0,0,0,0,0,0
76,A10023531,202004,0,0,0,0,0,0,0,0,0,0
77,A10023531,202005,0,0,0,0,0,0,0,0,0,0
78,A10023531,202006,0,0,0,0,0,0,0,0,0,0
79,A10023531,202007,0,0,0,0,0,0,0,0,0,0
80,A10023531,202008,0,0,0,0,0,0,0,0,0,0
81,A10023531,202009,0,0,0,0,0,0,0,0,0,0
82,A10023531,202010,0,0,0,0,0,0,0,0,0,0
83,A10023531,202011,0,0,0,0,0,0,0,0,0,0
84,A10023531,202012,0,0,0,0,0,0,0,0,0,0
85,A10023531,202101,0,0,0,0,0,0,0,0,0,0
86,A10023531,202102,0,0,0,0,0,0,0,0,0,0
87,A10023531,202103,0,0,0,0,0,0,0,0,0,0
88,A10023531,202104,0,0,0,0,0,0,0,0,0,0
89,A10023531,202105,0,0,0,0,0,0,0,0,0,0
90,A10023531,202106,0,0,0,0,0,0,0,0,0,0
91,A10023531,202107,0,0,0,0,0,0,0,0,0,0
92,A10023531,202108,0,0,0,0,0,0,0,0,0,0
93,A10023531,202109,0,0,0,0,0,0,0,0,0,0
94,A10023531,202110,0,0,0,0,0,0,0,0,0,0
95,A10023531,202111,0,0,0,0,0,0,0,0,0,0
96,A10023531,202112,0,0,0,0,0,0,0,0,0,0
97,A10023531,202201,0,0,0,0,0,0,0,0,0,0
98,A10023531,202202,0,0,0,0,0,0,0,0,0,0
99,A10023531,202203,0,0,0,0,0,0,0,0,0,0
100,A10023531,202204,0,0,0,0,0,0,0,0,0,0
101,A10023531,202205,0,0,0,0,0,0,0,0,0,0
102,A10023531,202206,0,0,0,0,0,0,0,0,0,0
103,A10023531,202207,0,0,0,0,0,0,0,0,0,0
104,A10023531,202208,0,0,0,0,0,0,0,0,0,0
105,A10023531,202209,0,0,0,0,0,0,0,0,0,0
106,A10023531,202210,0,0,0,0,0,0,0,0,0,0
107,A10023531,202211,0,0,0,0,0,0,17212190,37225,323020,312
108,A10023531,202212,0,0,0,0,0,0,34310500,94641,3448470,2844
109,A10023531,202301,0,0,0,0,0,0,47687950,161911,6744360,6717
110,A10023531,202302,0,0,0,0,0,0,44511520,168132,7239520,7521
111,A10023531,202303,0,0,0,0,0,0,42724690,186943,8877800,8934
112,A10023531,202304,0,0,0,0,0,0,43120030,186272,8951390,9045
113,A10023531,202305,0,0,0,0,0,0,45249510,197504,9082260,9531
114,A10023531,202306,0,0,0,0,0,0,60107760,228026,11342920,9679
115,A10023531,202307,0,0,0,0,0,0,85384020,318962,11406220,10202
116,A10023531,202308,0,0,0,0,0,0,97133479,351772,12534820,10270
117,A10023531,202309,0,0,0,0,0,0,61016952,235776,10945320,9730
118,A10023531,202310,0,0,0,0,0,0,48719450,198530,10645020,10162
119,A10023531,202311,0,0,0,0,0,0,53042240,201429,10952920,9740
120,A10023531,202312,0,0,0,0,0,0,61849330,221118,10527220,10084
121,A10023535,201401,0,0,0,0,0,0,0,0,0,0
122,A10023535,201402,0,0,0,0,0,0,0,0,0,0
123,A10023535,201403,0,0,0,0,0,0,0,0,0,0
124,A10023535,201404,0,0,0,0,0,0,0,0,0,0
125,A10023535,201405,0,0,0,0,0,0,0,0,0,0
126,A10023535,201406,0,0,0,0,0,0,0,0,0,0
127,A10023535,201407,0,0,0,0,0,0,0,0,0,0
128,A10023535,201408,0,0,0,0,0,0,0,0,0,0
129,A10023535,201409,0,0,0,0,0,0,0,0,0,0
130,A10023535,201410,0,0,0,0,0,0,0,0,0,0
131,A10023535,201411,0,0,0,0,0,0,0,0,0,0
132,A10023535,201412,0,0,0,0,0,0,0,0,0,0
133,A10023535,201501,0,0,0,0,0,0,0,0,0,0
134,A10023535,201502,0,0,0,0,0,0,0,0,0,0
135,A10023535,201503,0,0,0,0,0,0,0,0,0,0
136,A10023535,201504,0,0,0,0,0,0,0,0,0,0
137,A10023535,201505,0,0,0,0,0,0,0,0,0,0
138,A10023535,201506,0,0,0,0,0,0,0,0,0,0
139,A10023535,201507,0,0,0,0,0,0,0,0,0,0
140,A10023535,201508,0,0,0,0,0,0,0,0,0,0
141,A10023535,201509,0,0,0,0,0,0,0,0,0,0
142,A10023535,201510,0,0,0,0,0,0,0,0,0,0
143,A10023535,201511,0,0,0,0,0,0,0,0,0,0
