Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,244000,2,-10000,-3.94,247000,252500,243000,462366,114611916500,23863527936000,97801344,KSQ
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,612000,2,-28000,-4.38,621000,629000,610000,326670,201393002000,16296132816000,26627668,KSQ
028300,KR7028300002,HLB,KOSDAQ,중견기업부,76500,1,7900,11.52,69600,79400,69300,5339636,407024381500,9990394794000,130593396,KSQ
348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,289000,1,37000,14.68,241000,294500,240000,1140024,315414020000,4964479570000,17178130,KSQ
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,89000,2,-1700,-1.87,91800,91800,88800,539926,48653488600,4718052692000,53011828,KSQ
403870,KR7403870009,HPSP,KOSDAQ,벤처기업부,56000,2,-2500,-4.27,57600,58800,56000,1630484,93435784800,4643907184000,82926914,KSQ
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,102400,2,-600,-0.58,103600,104000,102400,93793,9668418300,4056088883200,39610243,KSQ
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,167400,2,-3900,-2.28,168000,170300,167300,157974,26615229700,3247536229200,19399858,KSQ
065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,117900,1,900,0.77,103900,120500,99400,1765828,194154802600,3240357469200,27483948,KSQ
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,206500,2,-3000,-1.43,206500,211000,205500,60213,12538001500,3147549405000,15242370,KSQ
035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,77300,1,700,0.91,77100,77800,76600,183234,14135042900,2746661631600,35532492,KSQ
263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,34950,2,-450,-1.27,34850,35550,34850,80416,2827156650,2245462532250,64247855,KSQ
357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,273500,2,-12000,-4.2,284000,284000,273500,22566,6245085000,2127437801000,7778566,KSQ
039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,169900,2,-8100,-4.55,174500,177600,169300,155265,26779057600,2093091545000,12319550,KSQ
293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,25250,2,-100,-0.39,25300,25650,25200,133350,3383889200,2083926586500,82531746,KSQ
417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,30350,1,50,0.17,30050,30750,29500,388885,11755553400,2053258200650,67652659,KSQ
214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,31500,2,-1200,-3.67,32650,32750,31400,255035,8153343500,2040466113000,64776702,KSQ
145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,166300,2,-4600,-2.69,170900,171800,166300,18555,3127819600,1997910239600,12013892,KSQ
005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,38600,2,-150,-0.39,38750,39350,38250,325741,12666714900,1984599468400,51414494,KSQ
041510,KR7041510009,에스엠,KOSDAQ,우량기업부,79400,2,-700,-0.87,80200,80700,78400,80042,6354431100,1892173539400,23830901,KSQ
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,62600,1,900,1.46,62000,64900,62000,751257,47641812000,1800364106000,28759810,KSQ
112040,KR7112040001,위메이드,KOSDAQ,우량기업부,51100,2,-700,-1.35,51900,52200,51000,144268,7444348100,1732186573600,33897976,KSQ
035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,우량기업부,76800,2,-1800,-2.29,78600,79900,76600,112073,8675351300,1684159027200,21929154,KSQ
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,69700,2,-1100,-1.55,70800,71400,69400,101383,7127533200,1634985798400,23457472,KSQ
095340,KR7095340006,ISC,KOSDAQ,우량기업부,73900,2,-1100,-1.47,74000,75200,72900,112637,8276268300,1566462586200,21197058,KSQ
067630,KR7067630004,HLB생명과학,KOSDAQ,중견기업부,15080,1,1090,7.79,14110,15750,14070,2906038,44017757600,1552899418200,102977415,KSQ
141080,KR7141080002,레고켐바이오,KOSDAQ GLOBAL,기술성장기업부,53500,1,1000,1.9,52700,54200,52400,395194,21119871400,1504436585000,28120310,KSQ
