Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,73700,1,900,1.24,72800,73900,72800,8737736,642613367600,439972973935000,5969782550,STK
000660,KR7000660001,SK하이닉스,KOSPI,,151600,1,4800,3.27,146200,153200,146000,3016444,454937971800,110365158534000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,395500,2,-14500,-3.54,412000,412500,395500,215926,86668540500,92547000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,819000,2,-9000,-1.09,820000,827000,818000,37888,31115076000,58291506000000,71174000,STK
005380,KR7005380001,현대차,KOSPI,,253500,1,1000,0.4,253500,257000,248500,1417456,358261151000,53623236771000,211531506,STK
005935,KR7005931001,삼성전자우,KOSPI,,62600,1,100,0.16,62100,62800,62000,600125,37545049100,51512707420000,822886700,STK
000270,KR7000270009,기아,KOSPI,,117500,1,1700,1.47,115600,119300,115300,1364966,160399289500,47240193852500,402044203,STK
068270,KR7068270008,셀트리온,KOSPI,,182100,2,-100,-0.05,182200,183800,181600,209176,38223801400,39706861660200,218049762,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,443500,1,1500,0.34,437500,450500,436000,417955,185230890000,37507340505000,84571230,STK
051910,KR7051910008,LG화학,KOSPI,,513000,1,9000,1.79,508000,520000,504000,231990,119355407000,36213871959000,70592343,STK
035420,KR7035420009,NAVER,KOSPI,,203500,2,-1500,-0.73,206500,206500,203000,431293,87986440500,33050148879000,162408594,STK
028260,KR7028260008,삼성물산,KOSPI,,170300,1,6500,3.97,166500,171700,165500,772169,130935530300,31606261401000,185591670,STK
105560,KR7105560007,KB금융,KOSPI,,68500,1,800,1.18,67800,69900,67800,1179570,81175338700,27640508432000,403511072,STK
006400,KR7006400006,삼성SDI,KOSPI,,395500,2,-9000,-2.22,400000,404500,395000,257835,102870742000,27196371615000,68764530,STK
035720,KR7035720002,카카오,KOSPI,,58300,2,-100,-0.17,58800,59100,58100,994637,58237376900,25943446772100,444999087,STK
055550,KR7055550008,신한지주,KOSPI,,45000,1,500,1.12,45000,45500,44450,1887277,84803707450,23074176195000,512759471,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,295000,2,-8000,-2.64,297000,306000,295000,294528,88120776000,22851649900000,77463220,STK
012330,KR7012330007,현대모비스,KOSPI,,242000,1,11500,4.99,234500,242000,234500,343281,82256834000,22664532748000,93655094,STK
086790,KR7086790003,하나금융지주,KOSPI,,58600,1,2900,5.21,56600,59000,55900,1641983,95389468800,17132096642800,292356598,STK
032830,KR7032830002,삼성생명,KOSPI,,84400,1,4100,5.11,80300,85200,80000,558997,46844601000,16880000000000,200000000,STK
066570,KR7066570003,LG전자,KOSPI,,100100,1,800,0.81,99400,100400,99400,355264,35536991700,16381146181400,163647814,STK
003550,KR7003550001,LG,KOSPI,,103100,1,6600,6.84,98000,103500,96800,598422,60822822600,16217732378300,157300993,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,78500,1,3700,4.95,75300,79900,75300,517663,40723967300,15964710949000,203372114,STK
034730,KR7034730002,SK,KOSPI,,206500,1,12500,6.44,195800,209500,195500,383571,78812641800,15115454938500,73198329,STK
000810,KR7000810002,삼성화재,KOSPI,,315500,1,11500,3.78,304000,319000,303500,86417,27105980000,14946761073500,47374837,STK
015760,KR7015760002,한국전력,KOSPI,,23000,1,1900,9.0,21700,23150,21550,8533201,193687315000,14765173771000,641964077,STK
323410,KR7323410001,카카오뱅크,KOSPI,,29950,2,-150,-0.5,30300,30600,29850,671832,20300394400,14282320503150,476872137,STK
450080,KR7450080007,에코프로머티,KOSPI,,188400,2,-10200,-5.14,190300,199900,188400,571109,110161208500,12996815071200,68985218,STK
096770,KR7096770003,SK이노베이션,KOSPI,,128900,1,1800,1.42,127200,130800,127200,419171,54205491300,12974502199600,100655564,STK
011200,KR7011200003,HMM,KOSPI,,18500,1,670,3.76,18070,18600,18050,2251581,41414361040,12747230676000,689039496,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,160600,1,3000,1.9,157600,165500,157500,150888,24589076800,12426874680000,77377800,STK
033780,KR7033780008,KT&G,KOSPI,,91100,1,200,0.22,90100,91300,90100,107390,9764512400,12191229476700,133822497,STK
017670,KR7017670001,SK텔레콤,KOSPI,,52900,1,800,1.54,52100,53000,52000,468931,24689986907,11576273317600,218833144,STK
259960,KR7259960003,크래프톤,KOSPI,,235000,2,-2500,-1.05,237500,239500,234500,33425,7899207000,11365655855000,48364493,STK
316140,KR7316140003,우리금융지주,KOSPI,,15070,1,320,2.17,14810,15200,14800,2462981,36936004120,11331878377270,751949461,STK
024110,KR7024110009,기업은행,KOSPI,,13980,1,260,1.9,13740,14230,13740,1907698,26742708020,11148013648620,797425869,STK
030200,KR7030200000,KT,KOSPI,,42000,1,2550,6.46,39700,42400,39650,1618339,67149190000,10830151920000,257860760,STK
009150,KR7009150004,삼성전기,KOSPI,,136300,1,200,0.15,136200,137200,136000,145476,19863303500,10180750764800,74693696,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,57800,1,500,0.87,57100,58200,56500,338339,19496669900,10168337146400,175922788,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,15490,1,120,0.78,15370,15670,15340,1337500,20748318790,9922292151540,640561146,STK
010130,KR7010130003,고려아연,KOSPI,,468000,1,3500,0.75,464500,469000,463000,14525,6784177500,9785219184000,20908588,STK
329180,KR7329180004,HD현대중공업,KOSPI,,109600,2,-800,-0.72,110000,111200,108600,49240,5414664200,9729533513600,88773116,STK
402340,KR7402340004,SK스퀘어,KOSPI,,68800,1,3300,5.04,67000,69000,66300,679192,46468333600,9561895276800,138981036,STK
022100,KR7022100002,포스코DX,KOSPI,,59300,2,-1700,-2.79,60800,61000,59300,759478,45460621500,9015659429700,152034729,STK
003490,KR7003490000,대한항공,KOSPI,,23350,1,250,1.08,23100,23400,23100,598743,13951223150,8597952434350,368220661,STK
352820,KR7352820005,하이브,KOSPI,,203500,2,-5000,-2.4,208500,211000,202500,192611,39356153500,8476201739500,41652097,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,119200,2,-700,-0.58,120000,120300,118100,62752,7497124900,8436155427200,70773116,STK
010950,KR7010950004,S-Oil,KOSPI,,73900,1,1400,1.93,72500,74000,72500,223073,16381292600,8319868328800,112582792,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,150000,1,8700,6.16,142100,151300,141900,573527,84981673200,7594500000000,50630000,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,126100,1,1100,0.88,124800,126100,123600,71547,8925237000,7375936909900,58492759,STK
005830,KR7005830005,DB손해보험,KOSPI,,103700,1,3700,3.7,100200,105400,100200,118298,12234492750,7341960000000,70800000,STK
042700,KR7042700005,한미반도체,KOSPI,,75200,2,-200,-0.27,74800,77000,73500,1054110,79801413500,7319915510400,97339302,STK
042660,KR7042660001,한화오션,KOSPI,,22600,1,100,0.44,22800,22900,22450,368703,8333837450,6923711117400,306358899,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,55200,2,-300,-0.54,55500,56400,54600,81656,4522615200,6837903808800,123875069,STK
086280,KR7086280005,현대글로비스,KOSPI,,182200,1,2900,1.62,179800,185900,179800,57561,10550218600,6832500000000,37500000,STK
326030,KR7326030004,SK바이오팜,KOSPI,,86200,1,800,0.94,86000,86500,85000,65295,5615232600,6750602150000,78313250,STK
377300,KR7377300009,카카오페이,KOSPI,,48650,2,-750,-1.52,49400,50300,48550,117941,5821500850,6533406992000,134294080,STK
